date,country,status,aqi_value
2022-07-21,Albania,Good,14
2022-07-21,Algeria,Moderate,65
2022-07-21,Andorra,Moderate,55
2022-07-21,Angola,Unhealthy for Sensitive Groups,113
2022-07-21,Argentina,Moderate,63
2022-07-21,Armenia,Moderate,76
2022-07-21,Australia,Moderate,56
2022-07-21,Austria,Good,45
2022-07-21,Azerbaijan,Good,12
2022-07-21,Bahrain,Unhealthy,165
2022-07-21,Bangladesh,Unhealthy for Sensitive Groups,141
2022-07-21,Belarus,Good,13
2022-07-21,Belgium,Moderate,61
2022-07-21,Belize,Good,28
2022-07-21,Bermuda,Good,12
2022-07-21,Bolivia,Good,9
2022-07-21,Bosnia and Herzegovina,Moderate,58
2022-07-21,Brazil,Moderate,67
2022-07-21,Brunei,Good,15
2022-07-21,Bulgaria,Good,28
2022-07-21,Burkina Faso,Unhealthy for Sensitive Groups,118
2022-07-21,Cambodia,Good,15
2022-07-21,Canada,Moderate,62
2022-07-21,Cape Verde,Good,43
2022-07-21,Cayman Islands,Good,6
2022-07-21,Central African Republic,Unhealthy,156
2022-07-21,Chad,Moderate,59
2022-07-21,Chile,Unhealthy,178
2022-07-21,China,Unhealthy,160
2022-07-21,Colombia,Moderate,63
2022-07-21,Costa Rica,Good,25
2022-07-21,Croatia,Good,33
2022-07-21,Cyprus,Good,50
2022-07-21,Czech Republic,Moderate,77
2022-07-21,Denmark,Good,36
2022-07-21,Dominican Republic,Good,26
2022-07-21,Ecuador,Moderate,54
2022-07-21,Egypt,Moderate,86
2022-07-21,El Salvador,Moderate,80
2022-07-21,Estonia,Good,15
2022-07-21,Ethiopia,Unhealthy,165
2022-07-21,Finland,Good,25
2022-07-21,France,Moderate,72
2022-07-21,French Guiana,Good,13
2022-07-21,Gabon,Unhealthy for Sensitive Groups,118
2022-07-21,Gambia,Good,9
2022-07-21,Georgia,Good,41
2022-07-21,Germany,Moderate,77
2022-07-21,Ghana,Unhealthy for Sensitive Groups,117
2022-07-21,Gibraltar,Good,34
2022-07-21,Greece,Good,38
2022-07-21,Grenada,Good,3
2022-07-21,Guadeloupe,Good,7
2022-07-21,Guam,Good,1
2022-07-21,Guatemala,Good,47
2022-07-21,Honduras,Good,47
2022-07-21,Hong Kong,Good,30
2022-07-21,Hungary,Moderate,57
2022-07-21,Iceland,Good,8
2022-07-21,India,Unhealthy,162
2022-07-21,Indonesia,Moderate,93
2022-07-21,Iran,Very Unhealthy,250
2022-07-21,Iraq,Very Unhealthy,234
2022-07-21,Ireland,Good,14
